	SBS1	SBS2	SBS5	SBS7a	SBS7b	SBS8	SBS10a	SBS10b	SBS11	SBS12	SBS13	SBS14	SBS15	SBS17a	SBS17b	SBS18	SBS20	SBS31	SBS33	SBS35	SBS39	SBS43	SBS44	SBS45	SBS46	SBS53	SBS54	SBS57	SBS60	SBS84	SBS87	SBS288L1/H3	SBS288L2	SBS288L3	SBS288L4	SBS288L5	SBS288H1	SBS288H2	SBS288H4	SBS288H5	DBS1	DBS2	DBS4	DBS5	DBS6	DBS7	DBS9	DBS10	DBS11	DBS78L1/H1	DBS78H2	DBS78H3	ID1	ID2	ID3	ID4	ID5	ID8	ID9	ID12	ID17	ID83L1	ID83I1	ID83I2	ID83I3/H1	ID83H2	ID83H3	ID83H4	ID83I4/H5	Unassigned_SBS
IID_H156416_T01_01_WG01	129	0	534	0	0	184	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IID_H156418_T01_01_WG01	0	0	427	0	0	0	0	0	0	0	0	0	0	0	0	466	0	262	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	255	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	89	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IID_H158181_T01_01_WG01	212	0	666	0	0	190	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	152	66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IID_H158182_T01_01_WG01	250	0	831	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1632	0	1201	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	114	0	910	559	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IID_H158183_T01_01_WG01	0	0	1435	0	0	1121	0	0	0	0	0	0	0	0	0	2310	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	171	138	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IID_H158184_T01_01_WG01	0	0	1192	0	0	1078	0	0	0	0	0	0	0	0	0	2624	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	97	97	0	0	0	0	55	0	0	0	0	0	0	0	0	0	0	0
IID_H158186_T01_01_WG01	839	0	4139	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3030	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	733	2104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IID_H158223_T01_01_WG01	0	0	2254	0	0	0	0	0	0	931	0	0	0	0	0	1559	0	0	0	0	1234	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2469	0	0	0	0	0	0	0	0	0	0	0	0	0	0	183	0	153	326	0	0	0	0	283	0	0	0	0	0	0	0	0	0	0	0
IID_H158271_T01_01_WG01	0	0	332	0	0	186	0	0	0	0	0	0	0	0	0	192	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IID_H158493_T01_01_WG01	237	0	2710	0	0	0	0	0	0	0	0	0	0	0	0	857	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1233	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	336	318	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KiCS0002_321321	105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10876	0	4226	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49	0	152	0	0	0	0	0	0	202	0	0	0	337	0	470	0	0	0	0	0	310	0	0	0	0	0	0	0
KiCS0003_20_15220_A_02_00	941	0	6552	0	0	0	0	0	0	0	0	0	0	0	0	2386	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3976	0	3189	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	133	277	416	0	0	0	0	0	0	0	1094	0	0	0	0	0	168	0
