Samples	Signatures	Mutations
zcc80	SBS11	0
zcc81	SBS11	0
zcc82	SBS11	0
zcc83	SBS11	0
zcc84	SBS11	0
zcc85	SBS11	0
zcc86	SBS11	0
zcc87	SBS11	0
zcc88	SBS11	0
zcc89	SBS11	0
zcc90	SBS11	0
zcc91	SBS11	0
zcc92	SBS11	0
zcc93	SBS11	0
zcc94	SBS11	0
zcc95	SBS11	0
zcc96	SBS11	0
zcc97	SBS11	0
zcc98	SBS11	0
zcc279	SBS11	0
zcc99	SBS11	0
zcc100	SBS11	0
zcc101	SBS11	0
zcc102	SBS11	0
zcc103	SBS11	0
zcc104	SBS11	0
zcc106	SBS11	0
zcc107	SBS11	0
zcc108	SBS11	0
zcc109	SBS11	0
zcc110	SBS11	0
zcc111	SBS11	0
zcc112	SBS11	0
zcc113	SBS11	0
zcc114	SBS11	0
zcc115	SBS11	0
zcc116	SBS11	0
zcc117	SBS11	0
zcc118	SBS11	0
zcc119	SBS11	0
zcc120	SBS11	0
zcc121	SBS11	0
zcc122	SBS11	0
zcc123	SBS11	0
zcc124	SBS11	0
zcc125	SBS11	0
zcc126	SBS11	0
zcc127	SBS11	0
zcc128	SBS11	0
zcc129	SBS11	0
zcc130	SBS11	0
zcc131	SBS11	0
zcc132	SBS11	0
zcc133	SBS11	0
zcc134	SBS11	0
zcc135	SBS11	0
zcc136	SBS11	0
zcc137	SBS11	0
zcc138	SBS11	0
zcc139	SBS11	0
zcc141	SBS11	0
zcc142	SBS11	0
zcc143	SBS11	0
zcc144	SBS11	0
zcc145	SBS11	0
zcc146	SBS11	0
zcc147	SBS11	0
zcc148	SBS11	0
zcc149	SBS11	0
zcc150	SBS11	0
zcc151	SBS11	0
zcc152	SBS11	0
zcc153	SBS11	0
zcc154	SBS11	0
zcc155	SBS11	0
zcc156	SBS11	0
zcc157	SBS11	0
zcc158	SBS11	0
zcc159	SBS11	0
zcc160	SBS11	0
zcc161	SBS11	0
zcc162	SBS11	0
zcc163	SBS11	0
zcc164	SBS11	0
zcc165	SBS11	0
zcc166	SBS11	0
zcc167	SBS11	0
zcc168	SBS11	0
zcc169	SBS11	0
zcc170	SBS11	0
zcc171	SBS11	0
zcc172	SBS11	0
zcc173	SBS11	0
zcc174	SBS11	0
zcc175	SBS11	0
zcc176	SBS11	0
zcc177	SBS11	0
zcc178	SBS11	0
zcc331	SBS11	0
zcc179	SBS11	0
zcc180	SBS11	0
zcc181	SBS11	0
zcc182	SBS11	0
zcc183	SBS11	0
zcc184	SBS11	0
zcc185	SBS11	0
zcc186	SBS11	0
zcc187	SBS11	0
zcc188	SBS11	0
zcc337	SBS11	0
zcc190	SBS11	0
zcc191	SBS11	0
zcc192	SBS11	0
zcc193	SBS11	0
zcc194	SBS11	0
zcc344	SBS11	0
zcc195	SBS11	0
zcc196	SBS11	0
zcc197	SBS11	0
zcc355	SBS11	0
zcc198	SBS11	0
zcc199	SBS11	0
zcc200	SBS11	0
zcc365	SBS11	0
zcc201	SBS11	0
zcc202	SBS11	0
zcc203	SBS11	0
zcc377	SBS11	0
zcc204	SBS11	0
zcc380	SBS11	0
zcc205	SBS11	0
zcc401	SBS11	0
zcc403	SBS11	0
zcc206	SBS11	0
zcc207	SBS11	0
zcc209	SBS11	0
zcc210	SBS11	0
zcc211	SBS11	0
zcc212	SBS11	0
zcc213	SBS11	0
zcc214	SBS11	0
zcc215	SBS11	0
zcc216	SBS11	0
zcc217	SBS11	0
zcc218	SBS11	14405
zcc219	SBS11	0
zcc220	SBS11	0
zcc221	SBS11	0
zcc222	SBS11	0
zcc223	SBS11	0
zcc224	SBS11	0
zcc225	SBS11	0
zcc226	SBS11	0
zcc227	SBS11	0
zcc228	SBS11	0
zcc229	SBS11	0
zcc230	SBS11	0
zcc232	SBS11	0
zcc233	SBS11	0
zcc234	SBS11	0
zcc235	SBS11	0
zcc237	SBS11	0
zcc238	SBS11	0
zcc239	SBS11	0
zcc240	SBS11	0
zcc241	SBS11	0
zcc242	SBS11	0
zcc243	SBS11	0
zcc244	SBS11	0
zcc245	SBS11	0
zcc246	SBS11	0
zcc247	SBS11	0
zcc248	SBS11	0
zcc249	SBS11	0
zcc250	SBS11	0
zcc251	SBS11	0
zcc252	SBS11	0
I-H-135462-T1-2-D1-1	SBS11	0
IID_H158186_T02_01_WG01	SBS11	116620
KiCS0014_328066	SBS11	0
KiCS0032_273811	SBS11	0
KiCS0032_276054	SBS11	0
KiCS0040_286739	SBS11	0
KiCS0060_291967	SBS11	0
KiCS0062_291776	SBS11	0
KiCS0156_315663	SBS11	0
KiCS0167_318530	SBS11	0
KiCS0182_331429	SBS11	0
KiCS0195_327479	SBS11	0
KiCS0219_18_1752	SBS11	0
KiCS0220_18_748	SBS11	0
KiCS0224_18_1655	SBS11	0
KiCS0231_18_5970	SBS11	0
KiCS0279_19_2126_A_02_00	SBS11	0
KiCS0281_19_23340_A_02_00	SBS11	0
KiCS0284_20_18306_A_02_00	SBS11	0
KiCS0345_20_11162_A_02_00	SBS11	0
KiCS0352_19_17420_A_02_00	SBS11	0
KiCS0368_20_6000_A_02_00	SBS11	0
KiCS0385_20_6460_A_02_00	SBS11	0
KiCS0388_20_8809_A_02_00	SBS11	0
KiCS0400_20_1851_A_02_00	SBS11	0
zcc79	SBS11	0
zcc105	SBS11	0
zcc292	SBS11	0
zcc140	SBS11	0
zcc189	SBS11	0
zcc425	SBS11	0
zcc208	SBS11	0
zcc231	SBS11	0
zcc236	SBS11	0
I-H-108298-T1-1-D1-1	SBS17b	0
I-H-108317-T1-1-D1-1	SBS17b	0
I-H-108319-T1-1-D1-1	SBS17b	0
I-H-108333-T2-2-D1-1	SBS17b	0
I-H-121266-T1-2-D1-1	SBS17b	0
I-H-133671-T1-2-D1-1	SBS17b	0
I-H-133672-T1-2-D1-1	SBS17b	0
I-H-133673-T2-1-D1-1	SBS17b	0
I-H-133674-T1-2-D1-1	SBS17b	0
I-H-133675-T1-2-D1-1	SBS17b	0
I-H-134733-T3-2-D1-1	SBS17b	0
I-H-134753-T1-1-D1-1	SBS17b	0
I-H-134754-T1-1-D1-1	SBS17b	0
I-H-134756-T1-1-D1-1	SBS17b	0
I-H-134757-T1-1-D1-1	SBS17b	0
I-H-134768-T1-1-D1-2	SBS17b	0
I-H-135062-T1-1-D1-1	SBS17b	0
I-H-135065-T1-1-D1-1	SBS17b	0
I-H-135074-T1-2-D1-1	SBS17b	0
I-H-135076-T1-1-D1-1	SBS17b	0
I-H-135088-T1-2-D1-1	SBS17b	0
I-H-135387-T1-1-D1-1	SBS17b	0
I-H-135392-T1-1-D1-1	SBS17b	0
I-H-135393-T1-1-D1-1	SBS17b	0
I-H-135420-T1-2-D1-1	SBS17b	0
I-H-135459-T1-2-D1-1	SBS17b	0
I-H-135463-T1-2-D1-1	SBS17b	0
I-H-135467-T1-2-D1-1	SBS17b	0
I-H-135963-T1-1-D1-1	SBS17b	0
I-H-135963-T2-2-D1-1	SBS17b	0
I-H-135965-T1-1-D1-1	SBS17b	0
I-H-135967-T1-2-D1-1	SBS17b	0
I-H-135973-T1-2-D1-1	SBS17b	0
I-H-135988-T1-2-D1-1	SBS17b	0
I-H-136062-T1-1-D1-1	SBS17b	0
I-H-136083-T1-2-D1-1	SBS17b	0
I-H-136086-T1-1-D1-1	SBS17b	0
I-H-136134-T1-1-D1-1	SBS17b	0
I-H-136375-T1-1-D1-1	SBS17b	0
I-H-136424-T1-1-D1-1	SBS17b	0
I-H-136428-T1-1-D1-1	SBS17b	0
IID_H134768_T02_01_WG01	SBS17b	0
IID_H135068_T05_01_WG01	SBS17b	968
IID_H136433_T07_01_WG01	SBS17b	0
IID_H136640_T01_01_WG01	SBS17b	0
IID_H136641_T01_01_WG01	SBS17b	0
IID_H136648_T01_01_WG01	SBS17b	0
IID_H136649_T01_01_WG01	SBS17b	0
IID_H156407_T01_01_WG01	SBS17b	0
IID_H156409_T01_01_WG01	SBS17b	0
IID_H156416_T01_01_WG01	SBS17b	0
IID_H156418_T01_01_WG01	SBS17b	0
IID_H158181_T01_01_WG01	SBS17b	0
IID_H158182_T01_01_WG01	SBS17b	0
IID_H158183_T01_01_WG01	SBS17b	0
IID_H158184_T01_01_WG01	SBS17b	0
IID_H158186_T01_01_WG01	SBS17b	0
IID_H158223_T01_01_WG01	SBS17b	0
IID_H158271_T01_01_WG01	SBS17b	0
IID_H158493_T01_01_WG01	SBS17b	0
KiCS0002_321321	SBS17b	0
KiCS0003_20_15220_A_02_00	SBS17b	0
KiCS0003_285201	SBS17b	0
KiCS0003_285202	SBS17b	0
KiCS0005_300238	SBS17b	0
KiCS0005_4677	SBS17b	0
KiCS0006_274243	SBS17b	0
KiCS0007_302948	SBS17b	0
KiCS0008_289185	SBS17b	1082
KiCS0010_270645	SBS17b	0
KiCS0010_270646	SBS17b	0
KiCS0010_270647	SBS17b	0
KiCS0011_19_24259_A_02_00	SBS17b	0
KiCS0011_270648	SBS17b	0
KiCS0013_319375	SBS17b	0
KiCS0015_18_7567	SBS17b	0
KiCS0015_283113	SBS17b	0
KiCS0015_288017	SBS17b	0
KiCS0015_316119	SBS17b	0
KiCS0016_270650	SBS17b	0
KiCS0017_270651	SBS17b	0
KiCS0017_271603	SBS17b	0
KiCS0018_270652	SBS17b	0
KiCS0024_272790	SBS17b	0
KiCS0025_272791	SBS17b	0
KiCS0025_307284	SBS17b	0
KiCS0029_274194	SBS17b	0
KiCS0030_273368	SBS17b	0
KiCS0031_283112	SBS17b	0
KiCS0033_319631	SBS17b	0
KiCS0035_18_2434_A_03_00	SBS17b	0
KiCS0035_270452	SBS17b	0
KiCS0035_270453	SBS17b	0
KiCS0035_270454	SBS17b	0
KiCS0036_275797	SBS17b	0
KiCS0036_275798	SBS17b	0
KiCS0037_283114	SBS17b	0
KiCS0038_287533	SBS17b	0
KiCS0038_305256	SBS17b	0
KiCS0038_310410	SBS17b	0
KiCS0039_297368	SBS17b	0
KiCS0041_317510	SBS17b	0
KiCS0041_317512	SBS17b	0
KiCS0042_284388	SBS17b	0
KiCS0043_290134	SBS17b	0
KiCS0044_285046	SBS17b	0
KiCS0045_288555	SBS17b	0
KiCS0046_292280	SBS17b	0
KiCS0048_18_753	SBS17b	0
KiCS0048_290132	SBS17b	0
KiCS0049_289183	SBS17b	0
KiCS0049_289187	SBS17b	0
KiCS0050_290492	SBS17b	0
KiCS0051_289184	SBS17b	0
KiCS0052_289182	SBS17b	0
KiCS0055_318143	SBS17b	0
KiCS0059_291150	SBS17b	0
KiCS0061_290886	SBS17b	0
KiCS0064_293844	SBS17b	0
KiCS0066_301446	SBS17b	0
KiCS0067_294232	SBS17b	0
KiCS0068_294906	SBS17b	0
KiCS0069_295533	SBS17b	0
KiCS0069_298700	SBS17b	0
KiCS0070_296084	SBS17b	0
KiCS0074_20_10579_A_02_00	SBS17b	0
KiCS0074_296401	SBS17b	0
KiCS0074_302458	SBS17b	0
KiCS0076_299020	SBS17b	0
KiCS0076_303115	SBS17b	0
KiCS0078_297044	SBS17b	0
KiCS0079_19_7192	SBS17b	0
KiCS0083_298314	SBS17b	0
KiCS0084_300714	SBS17b	0
KiCS0085_299826	SBS17b	0
KiCS0086_298838	SBS17b	0
KiCS0087_297229	SBS17b	0
KiCS0087_299908	SBS17b	0
KiCS0088_298840	SBS17b	0
KiCS0090_299554	SBS17b	0
KiCS0091_18_14899_A_02_00	SBS17b	0
KiCS0091_301892	SBS17b	0
KiCS0092_19_18518_A_02_00	SBS17b	0
KiCS0092_298842	SBS17b	0
KiCS0092_319682	SBS17b	0
KiCS0092_329766	SBS17b	0
KiCS0093_305080	SBS17b	0
KiCS0093_314662	SBS17b	0
KiCS0095_300240	SBS17b	0
KiCS0096_302713	SBS17b	0
KiCS0098_301161	SBS17b	0
KiCS0098_301163	SBS17b	0
KiCS0099_301444	SBS17b	0
KiCS0100_301918	SBS17b	0
KiCS0101_303761	SBS17b	0
KiCS0103_304770	SBS17b	0
KiCS0104_303117	SBS17b	0
KiCS0104_312594	SBS17b	0
KiCS0106_302802	SBS17b	0
KiCS0107_307283	SBS17b	0
KiCS0109_304552	SBS17b	0
KiCS0110_304269	SBS17b	0
KiCS0111_313467	SBS17b	0
KiCS0112_306734	SBS17b	0
KiCS0114_304772	SBS17b	0
KiCS0115_313555	SBS17b	0
KiCS0116_307117	SBS17b	0
KiCS0118_312902	SBS17b	0
KiCS0119_307642	SBS17b	0
KiCS0120_308112	SBS17b	0
KiCS0120_308114	SBS17b	0
KiCS0120_308939	SBS17b	0
KiCS0121_311881	SBS17b	0
KiCS0123_308934	SBS17b	0
KiCS0125_309277	SBS17b	0
KiCS0126_328068	SBS17b	0
