Samples	Signatures	Mutations
KiCS0083_298314	Advanced-Treated	0
KiCS0085_299826	Advanced-Treated	0
KiCS0086_298838	Advanced-Treated	0
KiCS0087_297229	Advanced-Treated	4363
KiCS0088_298840	Advanced-Treated	204
KiCS0090_299554	Advanced-Treated	15326
KiCS0091_18_14899_A_02_00	Advanced-Treated	11572
KiCS0092_19_18518_A_02_00	Advanced-Treated	15241
KiCS0092_298842	Advanced-Treated	0
KiCS0092_319682	Advanced-Treated	9349
KiCS0092_329766	Advanced-Treated	9391
KiCS0093_305080	Advanced-Treated	6755
KiCS0093_314662	Advanced-Treated	312
KiCS0095_300240	Advanced-Treated	0
KiCS0096_302713	Advanced-Treated	0
KiCS0098_301161	Advanced-Treated	0
KiCS0098_301163	Advanced-Treated	0
KiCS0101_303761	Advanced-Treated	0
KiCS0103_304770	Advanced-Treated	6008
KiCS0104_303117	Advanced-Treated	0
KiCS0104_312594	Advanced-Treated	285
KiCS0106_302802	Advanced-Treated	2300
KiCS0107_307283	Advanced-Treated	1183
KiCS0111_313467	Advanced-Treated	0
KiCS0112_306734	Advanced-Treated	0
KiCS0114_304772	Advanced-Treated	3473
KiCS0115_313555	Advanced-Treated	727
KiCS0116_307117	Advanced-Treated	0
KiCS0119_307642	Advanced-Treated	0
KiCS0120_308112	Advanced-Treated	152
KiCS0120_308114	Advanced-Treated	1396
KiCS0121_311881	Advanced-Treated	0
KiCS0123_308934	Advanced-Treated	0
KiCS0125_309277	Advanced-Treated	0
KiCS0126_328068	Advanced-Treated	0
KiCS0128_310151	Advanced-Treated	0
KiCS0143_316365	Advanced-Treated	0
KiCS0145_314010	Advanced-Treated	0
KiCS0149_316368	Advanced-Treated	0
KiCS0150_315216	Advanced-Treated	0
KiCS0152_316245	Advanced-Treated	3477
KiCS0154_18_752	Advanced-Treated	5425
KiCS0154_326256	Advanced-Treated	3665
KiCS0155_18_9678	Advanced-Treated	2542
KiCS0155_314807	Advanced-Treated	813
KiCS0155_314825	Advanced-Treated	809
KiCS0161_319069	Advanced-Treated	0
KiCS0162_317276	Advanced-Treated	3684
KiCS0164_317770	Advanced-Treated	0
KiCS0165_317832	Advanced-Treated	12964
KiCS0169_319629	Advanced-Treated	0
KiCS0170_320432	Advanced-Treated	745
KiCS0171_19_17562_A_02_00	Advanced-Treated	2116
KiCS0171_319910	Advanced-Treated	0
