Samples	SV2	SV3	SV4	SV5	SV6	SV8	SV9	SV32A	SV32B	SV32C	SV32D	SV32E
KiCS0310_19_15653_A_02_00	10	0	0	0	0	21	0	3	0	0	0	0
zcc85	131	0	29	0	136	0	64	0	0	0	0	0
zcc64	12	0	0	0	0	0	0	0	0	0	0	0
KiCS0120_308114	45	0	0	0	0	8	0	7	0	0	0	0
KiCS0101_303761	59	0	0	0	0	10	0	13	15	0	0	0
I-H-134768-T1-1-D1-2	69	0	14	0	0	10	0	0	22	0	0	0
zcc61	0	0	0	0	0	1	0	2	0	0	0	0
zcc200	0	0	0	0	0	0	0	0	0	0	2	0
KiCS0064_293844	41	0	0	0	0	16	0	21	13	0	0	0
KiCS0197_20_1402_A_02_00	41	0	0	0	0	51	0	0	0	0	0	0
zcc171	3	0	0	0	0	1	0	0	0	0	6	0
zcc122	1	0	0	0	0	0	0	0	0	0	0	0
zcc211	38	0	91	0	0	0	81	0	0	0	0	0
KiCS0188_334057	25	0	0	0	0	17	0	8	0	0	0	0
KiCS0376_19_23808_A_02_00	14	0	0	0	0	4	0	0	0	0	0	0
zcc164	17	0	0	0	0	5	0	0	0	0	0	0
I-H-135973-T1-2-D1-1	12	0	0	0	0	4	0	5	5	0	0	0
zcc154	20	0	0	0	31	17	0	15	6	0	0	0
zcc97	444	0	120	0	0	0	0	0	0	0	0	0
zcc177	37	0	28	0	0	0	79	11	10	0	0	0
KiCS0087_299908	14	0	0	8	0	5	0	0	0	0	0	0
IID_H136433_T07_01_WG01	195	0	141	0	159	31	0	89	41	62	0	0
KiCS0218_20_11154_A_02_00	28	0	0	0	0	49	0	17	0	0	0	0
zcc377	29	0	0	0	0	0	0	0	0	0	0	0
zcc120	0	0	0	0	0	0	0	1	3	0	0	0
KiCS0270_19_13895_A_02_00	43	0	0	0	0	15	0	0	0	0	0	0
KiCS0298_19_3826	27	0	0	0	0	20	0	7	0	0	0	0
zcc172	0	0	6	0	11	0	0	0	0	0	0	0
KiCS0228_18_7579	14	0	0	0	0	15	0	7	0	0	0	0
KiCS0041_317512	13	6	0	0	0	13	0	0	0	0	0	0
KiCS0015_283113	46	0	0	0	0	25	0	14	10	0	0	0
zcc51	3	0	0	0	0	0	0	1	0	0	0	0
IID_H158182_T01_01_WG01	68	0	0	0	0	0	0	0	0	0	0	0
KiCS0035_18_2434_A_03_00	17	0	0	0	0	15	0	15	0	0	0	0
I-H-133671-T1-2-D1-1	0	0	0	0	0	5	37	0	0	0	0	0
KiCS0016_270650	9	0	0	0	0	15	0	3	0	0	0	0
KiCS0218_18_1530	26	0	0	0	0	41	0	14	0	0	0	0
zcc244	23	0	0	0	205	0	0	0	13	0	0	0
KiCS0052_289182	17	0	0	0	0	22	0	0	0	0	0	0
zcc47	0	0	0	0	0	0	0	1	2	0	0	0
I-H-136083-T1-2-D1-1	0	0	0	0	121	0	0	0	0	0	0	0
KiCS0032_273811	27	0	0	0	0	20	0	21	10	21	0	0
IID_H136648_T01_01_WG01	15	0	0	0	13	3	0	4	0	0	0	0
zcc206	0	0	0	0	0	0	0	0	0	0	1	0
KiCS0272_20_18312_A_02_00	22	0	25	0	0	10	80	0	0	0	0	0
KiCS0281_19_23340_A_02_00	4	0	0	0	0	1	0	0	2	0	0	0
zcc193	101	0	34	0	0	0	0	0	0	0	0	0
I-H-134757-T1-1-D1-1	47	0	166	0	100	0	0	0	0	0	0	0
I-H-134754-T1-1-D1-1	1	0	0	0	0	3	0	5	6	0	0	0
KiCS0150_315216	21	0	0	0	0	53	0	0	0	0	0	0
zcc249	0	0	0	0	0	0	0	0	0	0	9	0
zcc167	0	0	0	0	0	0	9	0	0	0	0	0
zcc165	0	0	0	0	0	0	0	1	2	0	0	0
zcc81	10	0	0	0	0	0	0	0	0	3	0	0
zcc169	11	0	0	0	0	2	0	0	0	0	0	0
zcc107	5	0	0	0	0	0	0	1	0	0	0	0
KiCS0104_303117	25	0	0	0	0	23	0	0	0	0	0	0
zcc237	9	0	0	0	0	0	0	0	0	0	0	0
zcc231	0	0	0	1	0	1	0	1	2	0	0	0
KiCS0320_20_18316_A_02_00	27	0	0	0	0	23	0	6	0	0	0	0
KiCS0154_18_752	47	0	0	0	0	21	0	15	0	0	0	0
KiCS0025_272791	11	0	0	0	0	8	0	0	0	0	0	15
zcc50	32	0	0	0	0	0	0	0	4	0	0	0
KiCS0092_298842	25	0	0	0	0	42	0	12	0	0	0	0
KiCS0067_294232	23	0	0	0	0	14	0	7	0	0	0	0
KiCS0333_19_16940_A_02_00	31	0	0	0	0	77	0	15	0	0	0	0
zcc117	0	1	0	0	0	0	0	3	1	0	0	0
zcc9	9	0	0	0	0	2	0	0	7	0	0	0
zcc147	63	0	31	0	97	0	0	27	42	0	38	0
KiCS0091_301892	12	0	0	6	0	6	0	0	0	0	0	0
