Sample_id	sbs_burden	dbs_burden	id_burden	sbs_log	dbs_log	id_log
KiCS0298_20_11148_A_02_00	Low	High	Mid	3.649626887	1.748188027	2.625312451
KiCS0299_19_3794	Low	High	Mid	4.310374642	2.876217841	3.407730728
KiCS0302_19_15647_A_02_00	Low	Low	Low	2.79518459	0.903089987	1.880813592
KiCS0306_19_19567_A_02_00	Low	Low	Mid	3.865932668	1.556302501	2.666517981
KiCS0310_19_15653_A_02_00	Low	High	Mid	4.184719815	1.819543936	3.366422957
KiCS0312_19_15651_A_02_00	Low	Low	Low	3.120902818	1.113943352	2.178976947
KiCS0314_19_11045_A_02_00	Low	Low	Mid	3.024485668	1.079181246	2.315970345
KiCS0319_19_11213_A_02_00	Low	Low	Mid	3.248218561	0.77815125	3.030194785
KiCS0319_19_19753_A_02_00	Low	Low	Mid	3.271841607	1.176091259	3.139564266
KiCS0320_20_18316_A_02_00	Low	Low	Mid	2.649334859	1.146128036	2.338456494
KiCS0323_19_26722_A_02_00	Low	High	High	3.56014584	2.071882007	3.589614541
KiCS0324_19_15655_A_02_00	Low	High	Mid	3.770262738	1.812913357	3.024485668
KiCS0326_19_21779_A_02_00	Low	Low	Mid	3.51308436	1.230448921	2.737192643
KiCS0327_20_75_A_02_00	Low	High	Mid	3.864985461	2.004321374	2.814247596
KiCS0329_19_12113_A_02_00	Low	Low	Mid	3.0923697	1.230448921	2.456366033
KiCS0332_19_12115_A_02_00	Low	Low	Mid	3.409087369	1.113943352	2.424881637
KiCS0333_19_16938_A_02_00	Low	Low	Mid	3.474653253	1.146128036	2.411619706
KiCS0333_19_16940_A_02_00	Low	Low	Mid	3.265760917	1.361727836	2.600972896
KiCS0334_19_16943_A_02_00	Low	Low	Low	2.803457116	1.041392685	1.886490725
KiCS0336_20_76_A_02_00	Low	Low	Mid	3.155032229	0.903089987	2.328379603
KiCS0337_19_12649_A_02_00	Low	Low	Low	2.640481437	1.176091259	2.209515015
KiCS0339_20_1400_A_02_00	Low	Low	Mid	3.15896526	0.903089987	2.474216264
KiCS0341_19_17403_A_02_00	Low	Low	Mid	3.333447274	1.602059991	2.77815125
KiCS0343_19_13225_A_06_00	Low	High	High	3.551449998	1.959041392	3.776846409
KiCS0345_20_1395_A_02_00	Low	High	Mid	3.915769066	1.716003344	2.719331287
KiCS0345_20_11162_A_02_00	High	High	Mid	4.513923088	3.301464073	3.100715087
KiCS0347_19_17408_A_02_00	Low	Low	Low	2.685741739	0.301029996	1.826074803
KiCS0349_19_17411_A_02_00	Low	High	Mid	4.162056337	2.603144373	2.869818208
KiCS0350_20_1787_A_02_00	Low	Low	Mid	3.632760888	1.380211242	2.530199698
KiCS0350_19_25243_A_02_00	Low	High	Mid	3.807535028	1.748188027	2.592176757
KiCS0352_19_17420_A_02_00	High	High	High	6.140140214	3.109915863	4.898461893
KiCS0354_19_19173_A_02_00	Low	Low	Mid	3.33485569	1.505149978	3.032215703
KiCS0356_19_17417_A_02_00	Low	Low	Mid	3.315550534	1.301029996	2.636487896
KiCS0358_19_19175_A_02_00	Low	High	Mid	3.978317497	2.527629901	3.238046103
KiCS0359_19_18908_A_02_00	Low	Low	Mid	3.456062224	0.903089987	2.754348336
KiCS0361_19_18661_A_02_00	Low	Low	Low	2.921166051	0.903089987	2.11058971
KiCS0362_19_19176_A_02_00	Low	High	Mid	3.786609473	2.292256071	3.05422991
KiCS0363_19_21783_A_02_00	Low	High	Mid	3.619197716	1.977723605	2.503790683
KiCS0363_19_21794_A_02_00	Low	Low	Mid	3.198106999	0.77815125	2.394451681
KiCS0365_19_19570_A_02_00	Low	High	Mid	4.285377253	2.11058971	2.814913181
KiCS0366_19_20056_A_02_00	Low	Low	Mid	3.224014811	0.602059991	2.309630167
