	ID1	ID2	ID3	ID4	ID5	ID8	ID9	ID12	ID17	ID83L1	ID83I1	ID83I2	ID83I3/H1	ID83H2	ID83H3	ID83H4	ID83I4/H5
	MMRD/MSI	MMRD/MSI	Tobacco	Unknown	Unknown	Radiation	Unknown	Unknown	Top2A	Novel	Novel	Novel	Novel	Novel	Novel	Novel	Novel
KiCS0050_290492	234	240	0	0	292	349	0	0	0	0	0	0	163	0	0	0	0
KiCS0051_289184	55	0	0	0	206	173	123	0	0	0	0	154	0	0	0	0	100
KiCS0052_289182	0	0	0	0	0	0	0	87	0	0	0	0	0	0	0	0	70
KiCS0055_318143	0	0	88	0	194	169	0	0	0	0	155	71	0	0	0	0	0
KiCS0059_291150	0	0	0	0	0	73	0	262	0	0	0	82	0	0	0	0	141
KiCS0061_290886	0	0	0	0	0	76	0	78	0	0	0	82	0	0	0	0	93
KiCS0064_293844	0	0	0	0	148	214	95	0	0	0	0	0	120	0	0	0	0
KiCS0066_301446	0	0	0	0	0	0	0	0	0	67	0	0	0	0	0	0	0
KiCS0067_294232	67	118	0	0	0	60	90	0	0	0	0	0	131	0	0	0	50
KiCS0068_294906	0	0	0	0	0	0	0	0	0	151	0	0	0	0	0	0	0
KiCS0069_295533	0	235	0	0	0	511	286	0	0	0	0	0	185	0	0	0	0
KiCS0069_298700	88	492	0	0	0	0	0	0	0	0	0	121	0	0	0	0	0
KiCS0070_296084	0	0	0	0	0	0	0	0	0	109	0	0	0	0	0	0	0
KiCS0074_20_10579_A_02_00	242	95	0	0	0	283	181	0	0	0	0	122	0	0	0	0	142
KiCS0074_296401	0	0	0	0	0	0	0	0	0	65	0	0	0	0	0	0	0
KiCS0074_302458	0	0	0	0	0	0	0	0	0	117	0	0	0	0	0	0	0
KiCS0076_299020	0	0	0	0	0	54	0	0	0	0	0	0	79	0	0	0	0
KiCS0076_303115	0	0	0	0	0	0	0	0	0	105	0	0	0	0	0	0	0
KiCS0078_297044	0	0	0	0	0	0	0	0	0	64	0	0	0	0	0	0	0
KiCS0079_19_7192	0	0	0	0	0	52	57	0	0	0	0	53	0	0	0	0	0
KiCS0083_298314	1547	10582	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KiCS0084_300714	0	774	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KiCS0085_299826	0	142	0	514	0	0	0	0	0	0	0	0	0	0	0	0	0
KiCS0086_298838	0	0	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0
KiCS0087_297229	93	238	0	0	0	206	236	0	0	0	0	87	0	0	0	0	108
KiCS0087_299908	0	0	0	0	135	142	157	0	0	0	0	74	0	0	0	0	0
KiCS0088_298840	0	0	0	0	0	0	0	0	0	62	0	0	0	0	0	0	0
KiCS0090_299554	0	0	0	0	0	114	0	0	0	0	0	372	0	0	0	0	235
KiCS0091_18_14899_A_02_00	116	74	110	0	0	157	0	0	0	0	235	83	0	0	0	0	131
KiCS0091_301892	0	0	0	0	0	0	0	0	0	53	0	0	0	0	0	0	0
KiCS0092_19_18518_A_02_00	0	0	0	0	0	0	0	0	0	0	0	0	631	0	0	0	1926
KiCS0092_298842	0	0	0	0	0	0	0	0	0	78	0	0	0	0	0	0	0
KiCS0092_319682	98	72	0	0	0	123	151	0	0	0	0	0	137	0	0	0	0
KiCS0092_329766	78	56	0	0	0	85	186	0	0	0	0	109	0	0	0	0	60
KiCS0093_305080	149	399	0	0	0	0	178	237	0	0	0	0	0	0	0	0	0
KiCS0093_314662	0	0	0	0	0	0	0	0	0	0	0	85	0	0	0	0	115
KiCS0095_300240	0	0	0	0	0	0	0	0	0	0	0	62	0	0	0	0	0
KiCS0096_302713	0	0	0	0	0	0	0	0	0	72	0	0	0	0	0	0	0
KiCS0098_301161	0	0	0	0	0	0	0	0	0	67	0	0	0	0	0	0	0
KiCS0098_301163	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KiCS0099_301444	0	0	0	0	0	0	0	0	0	92	0	0	0	0	0	0	0
KiCS0100_301918	0	0	0	0	0	0	0	0	0	54	0	0	0	0	0	0	0
KiCS0101_303761	0	0	0	0	0	0	0	0	0	0	0	112	0	0	0	0	68
KiCS0103_304770	59	0	0	0	0	0	148	0	0	0	0	212	0	0	0	0	95
KiCS0104_303117	0	0	0	0	0	0	0	0	0	131	0	0	0	0	0	0	0
KiCS0104_312594	0	0	0	0	0	0	0	0	0	91	0	0	0	0	0	0	0
KiCS0106_302802	0	0	0	0	199	254	0	0	0	0	175	0	0	0	0	0	0
KiCS0107_307283	0	0	0	0	0	0	0	254	0	0	0	118	0	0	0	0	129
KiCS0109_304552	0	0	0	0	0	74	60	0	0	0	0	0	57	0	0	0	0
KiCS0110_304269	0	0	0	0	0	0	0	0	0	113	0	0	0	0	0	0	0
KiCS0111_313467	95	198	0	0	0	0	0	0	0	0	166	135	0	0	0	0	90
KiCS0112_306734	0	0	0	0	0	0	0	0	0	65	0	0	0	0	0	0	0
KiCS0114_304772	200	0	0	0	169	120	0	0	0	0	127	0	0	0	0	0	0
KiCS0115_313555	0	0	0	0	0	0	0	513	0	0	0	188	0	0	0	0	185
KiCS0116_307117	0	0	0	0	0	0	0	0	0	72	0	0	0	0	0	0	0
KiCS0118_312902	0	0	0	0	0	0	0	0	0	61	0	0	0	0	0	0	0
KiCS0119_307642	0	0	0	0	0	0	0	0	0	94	0	0	0	0	0	0	0
KiCS0120_308112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KiCS0120_308114	128	68	0	0	0	117	0	0	0	0	0	0	90	0	0	0	0
KiCS0120_308939	0	0	0	0	0	0	0	0	0	0	0	516	0	0	0	0	141
KiCS0121_311881	0	0	0	0	0	0	0	0	0	78	0	0	0	0	0	0	0
KiCS0123_308934	0	0	0	0	0	0	0	0	0	80	0	0	0	0	0	0	0
KiCS0125_309277	0	0	0	0	0	0	0	0	0	68	0	0	0	0	0	0	0
KiCS0126_328068	0	0	0	0	0	0	0	0	0	116	0	0	0	0	0	0	0
KiCS0128_310151	0	0	0	0	0	0	0	0	0	131	0	0	0	0	0	0	0
KiCS0136_312904	0	0	0	0	0	0	0	0	0	84	0	0	0	0	0	0	0
KiCS0140_313704	0	0	0	0	0	0	0	0	0	56	0	0	0	0	0	0	0
KiCS0141_314896	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0
KiCS0143_316365	0	0	0	0	0	0	0	0	0	70	0	0	0	0	0	0	0
