Samples	Signatures	Mutations
LKCGP-T001102-244973-01-01-01-D1	SBS1	0
LKCGP-T001202-245167-01-04-01-D1	SBS1	46
LKCGP-T005701-242678-01-04-01-D1	SBS1	0
LKCP-T000101-030303-01-04-01-D1	SBS1	35
LKCP-T000102-168359-01-04-01-D1	SBS1	0
LKCP-T000201-030226-01-01-01-D1	SBS1	44
LKCP-T000301-174312-01-03-01-R1	SBS1	0
LKCP-T000401-030270-02-02-16-R2	SBS1	164
LKCP-T000601-028528-01-01-01-R1	SBS1	0
LKCP-T000602-176413-01-03-01-R1	SBS1	0
LKCP-T000801-030437-01-01-01-D1	SBS1	0
LKCP-T000802-236863-01-01-01-R1	SBS1	0
LKCP-T000901-030528-01-05-01-D1	SBS1	0
LKCP-T000902-239174-01-06-01-D1	SBS1	0
LKCP-T001002-239333-01-06-01-D1	SBS1	0
LKCP-T001101-030632-01-06-01-D1	SBS1	57
LKCP-T001301-030877-01-03-01-R1	SBS1	0
LKCP-T001601-030978-01-02-01-D1	SBS1	0
LKCP-T001701-030976-01-04-01-R1	SBS1	0
LKCP-T001801-031023-07-02-05-R1	SBS1	0
LKCP-T001901-031281-01-04-01-R1	SBS1	0
LKCP-T002101-031422-01-01-01-D1	SBS1	0
LKCP-T002201-031482-01-01-01-R1	SBS1	0
LKCP-T002301-031556-06-02-09-D1	SBS1	0
LKCP-T002501-164590-01-01-01-P2	SBS1	0
LKCP-T002701-167650-01-03-01-P1	SBS1	0
LKCP-T002801-167757-01-01-01-R1	SBS1	0
LKCP-T002901-167990-01-04-01-R1	SBS1	0
LKCP-T003101-169491-01-01-01-R1	SBS1	0
LKCP-T003201-169765-01-01-01-D1	SBS1	0
LKCP-T003301-172592-01-01-01-D1	SBS1	0
LKCP-T003401-174216-01-01-01-R1	SBS1	0
LKCP-T003801-175631-01-01-01-D1	SBS1	0
LKCP-T003901-176167-01-03-01-R1	SBS1	0
LKCP-T004001-176166-06-06-01-D1	SBS1	0
LKCP-T004301-178339-01-01-01-R1	SBS1	0
LKCP-T004401-235152-01-01-01-D1	SBS1	0
LKCP-T004501-236339-01-02-05-R1	SBS1	0
LKCP-T004601-236658-01-04-01-D1	SBS1	0
LKCP-T004701-237396-01-04-01-D1	SBS1	0
LKCP-T004801-237803-03-01-01-D1	SBS1	0
LKCP-T004901-238554-01-02-01-D1	SBS1	0
