	Signature	Precision	Recall	F1-score	Support	Positive Class (in Red)
42	Sig -	0.8571428571428571	0.972972972972973	0.9113924050632912	37.0	TopRQ
43	Sig +	0.96875	0.8378378378378378	0.8985507246376812	37.0	TopRQ
44	Sig -	1.0	1.0	1.0	22.0	Sig+
45	Sig +	1.0	1.0	1.0	22.0	Sig+
46	Sig -	0.7222222222222222	0.8666666666666667	0.7878787878787877	15.0	Sig-
47	Sig +	0.8333333333333334	0.6666666666666666	0.7407407407407408	15.0	Sig-
48	Sig -	0.7833333333333333	0.8245614035087719	0.8034188034188033	57.0	"Platinum
Treated"
49	Sig +	0.8148148148148148	0.7719298245614035	0.7927927927927928	57.0	"Platinum
Treated"
50	Sig -	0.8333333333333334	0.9459459459459459	0.8860759493670887	37.0	TopRQ
51	Sig +	0.9375	0.8108108108108109	0.8695652173913043	37.0	TopRQ
52	Sig -	0.9565217391304348	1.0	0.9777777777777777	22.0	Sig+
53	Sig +	1.0	0.9545454545454546	0.9767441860465117	22.0	Sig+
54	Sig -	0.7368421052631579	0.9333333333333333	0.8235294117647058	15.0	Sig-
55	Sig +	0.9090909090909091	0.6666666666666666	0.7692307692307692	15.0	Sig-
56	Sig -	0.7846153846153846	0.8947368421052632	0.8360655737704918	57.0	"Platinum
Treated"
57	Sig +	0.8775510204081632	0.7543859649122807	0.8113207547169812	57.0	"Platinum
Treated"
58	Sig -	0.8421052631578947	0.8648648648648649	0.8533333333333334	37.0	TopRQ
59	Sig +	0.8611111111111112	0.8378378378378378	0.8493150684931507	37.0	TopRQ
60	Sig -	1.0	1.0	1.0	22.0	Sig+
61	Sig +	1.0	1.0	1.0	22.0	Sig+
