Condition	Zero	One	Two+	Type	Status
Primary-Naive	7.0	3.0	1.0	EWS	absolute_all
Primary-Treated	1.0	0.0	0.0	EWS	absolute_all
Advanced-Naive	0.0	0.0	0.0	EWS	absolute_all
Advanced-Treated	12.0	5.0	1.0	EWS	absolute_all
All	12.0	8.0	6.0	ERMS	absolute_all
Primary-Naive	4.0	4.0	1.0	ERMS	absolute_all
Primary-Treated	1.0	0.0	2.0	ERMS	absolute_all
Advanced-Naive	0.0	0.0	0.0	ERMS	absolute_all
Advanced-Treated	7.0	4.0	3.0	ERMS	absolute_all
All	0.0	6.0	20.0	DMG	absolute_all
Primary-Naive	0.0	6.0	18.0	DMG	absolute_all
Primary-Treated	0.0	0.0	1.0	DMG	absolute_all
Advanced-Naive	0.0	0.0	0.0	DMG	absolute_all
Advanced-Treated	0.0	0.0	1.0	DMG	absolute_all
All	20.0	1.0	0.0	ARMS	absolute_all
Primary-Naive	6.0	1.0	0.0	ARMS	absolute_all
Primary-Treated	2.0	0.0	0.0	ARMS	absolute_all
Advanced-Naive	1.0	0.0	0.0	ARMS	absolute_all
Advanced-Treated	11.0	0.0	0.0	ARMS	absolute_all
All	11.0	6.0	1.0	WT	absolute_all
Primary-Naive	0.0	1.0	0.0	WT	absolute_all
Primary-Treated	4.0	1.0	0.0	WT	absolute_all
Advanced-Naive	1.0	0.0	0.0	WT	absolute_all
Advanced-Treated	6.0	4.0	1.0	WT	absolute_all
All	8.0	2.0	7.0	AML	absolute_all
Primary-Naive	3.0	1.0	3.0	AML	absolute_all
Primary-Treated	0.0	0.0	0.0	AML	absolute_all
Advanced-Naive	0.0	0.0	0.0	AML	absolute_all
Advanced-Treated	5.0	1.0	4.0	AML	absolute_all
All	15.0	2.0	0.0	EPD	absolute_all
Primary-Naive	4.0	1.0	0.0	EPD	absolute_all
Primary-Treated	2.0	0.0	0.0	EPD	absolute_all
Advanced-Naive	0.0	0.0	0.0	EPD	absolute_all
Advanced-Treated	9.0	1.0	0.0	EPD	absolute_all
All	12.0	1.0	3.0	US	absolute_all
Primary-Naive	8.0	1.0	1.0	US	absolute_all
Primary-Treated	3.0	0.0	0.0	US	absolute_all
Advanced-Naive	0.0	0.0	0.0	US	absolute_all
Advanced-Treated	1.0	0.0	2.0	US	absolute_all
All	7.0	3.0	4.0	MBL	absolute_all
Primary-Naive	3.0	0.0	1.0	MBL	absolute_all
Primary-Treated	2.0	1.0	0.0	MBL	absolute_all
Advanced-Naive	0.0	0.0	0.0	MBL	absolute_all
Advanced-Treated	2.0	2.0	3.0	MBL	absolute_all
All	12.0	1.0	0.0	MRT	absolute_all
Primary-Naive	6.0	1.0	0.0	MRT	absolute_all
Primary-Treated	2.0	0.0	0.0	MRT	absolute_all
Advanced-Naive	1.0	0.0	0.0	MRT	absolute_all
Advanced-Treated	3.0	0.0	0.0	MRT	absolute_all
All	5.0	3.0	2.0	TALL	absolute_all
Primary-Naive	3.0	1.0	0.0	TALL	absolute_all
Primary-Treated	1.0	0.0	0.0	TALL	absolute_all
Advanced-Naive	0.0	0.0	0.0	TALL	absolute_all
Advanced-Treated	1.0	2.0	2.0	TALL	absolute_all
