Samples	SBS1	SBS2	SBS5	SBS7b	SBS13	SBS46
LKCGP-P000101-244105-01-01-01-D1	0	0	4	0	0	0
LKCGP-P000102-248287-01-01-01-D1	0	0	8	0	0	0
LKCGP-P000103-246820-01-03-01-D1	0	0	4	0	0	0
LKCGP-P000104-250304-01-06-01-D1	0	0	8	0	0	0
LKCGP-P000105-249031-01-03-01-R1	0	0	26	0	0	0
LKCGP-P000106-244271-01-01-01-R3	2	0	31	0	0	0
LKCGP-P000107-257820-01-04-01-D1	0	93	88	0	98	0
LKCGP-P000108-255679-01-06-01-R1	1	14	61	0	17	0
LKCGP-P000202-248737-01-01-01-R1	6	0	59	0	0	0
LKCGP-P000203-245823-01-04-01-R1	1	0	3	0	0	0
LKCGP-P000204-251965-01-04-01-D1	0	0	13	0	0	0
LKCGP-P000205-251424-01-04-01-R1	0	0	46	0	0	0
LKCGP-P000206-245229-01-04-01-R3	0	0	16	0	0	0
LKCGP-P000207-256902-01-06-01-R4	1	0	25	0	0	0
LKCGP-P000208-256832-01-01-01-D1	2	34	36	0	52	0
LKCGP-P000301-244735-01-06-01-D1	0	0	12	0	0	0
LKCGP-P000302-249382-01-01-01-D1	2	0	99	0	0	0
LKCGP-P000303-248216-01-04-01-P3	0	0	12	0	0	0
LKCGP-P000304-255645-01-04-01-R2	1	0	17	7	0	0
LKCGP-P000305-251503-01-02-01-D2	0	9	13	0	7	0
LKCGP-P000305-251504-01-02-05-D1	4	0	8	0	0	0
LKCGP-P000306-244703-01-04-01-R2	0	30	26	13	13	0
LKCGP-P000307-250768-01-01-01-D1	0	0	50	0	0	0
LKCGP-P000308-257986-01-04-20-R1	0	0	64	0	0	0
LKCGP-P000401-244917-01-06-01-D1	0	0	8	0	0	0
LKCGP-P000402-249682-01-04-01-R1	0	3	6	0	0	0
LKCGP-P000403-255320-01-04-01-D1	0	0	16	0	0	0
LKCGP-P000404-257958-01-01-01-P2	0	0	56	0	0	0
LKCGP-P000405-261706-01-04-01-D1	4	0	42	0	0	0
LKCGP-P000406-244901-03-04-01-D1	0	0	8	0	0	0
LKCGP-P000407-255560-01-03-01-R2	0	0	19	0	0	0
LKCGP-P000408-259006-03-02-19-R1	0	0	26	0	4	0
LKCGP-P000501-245256-01-06-01-D1	0	0	4	0	0	0
LKCGP-P000502-250726-01-06-01-P1	0	0	7	0	2	0
LKCGP-P000503-255087-01-06-01-D1	3	0	68	0	0	0
LKCGP-P000504-259156-01-01-01-D1	0	0	51	0	0	0
LKCGP-P000505-266106-01-04-01-R2	3	0	22	0	0	0
LKCGP-P000506-245249-01-04-01-R3	0	0	14	0	0	0
LKCGP-P000507-256616-01-04-01-D1	0	0	22	0	0	0
LKCGP-P000508-260304-01-04-01-D1	0	0	25	9	0	0
LKCGP-P000601-245664-01-06-01-D1	0	0	4	0	0	0
LKCGP-P000602-250784-01-04-01-D1	1	26	50	0	17	0
LKCGP-P000603-255322-01-06-01-D1	1	8	33	0	0	0
LKCGP-P000605-267980-01-01-01-R3	1	0	38	0	0	0
LKCGP-P000606-245909-01-01-01-P1	1	0	29	0	0	0
LKCGP-P000607-256617-01-02-06-R1	2	0	19	0	0	0
LKCGP-P000607-256695-01-02-01-R1	0	0	22	0	0	0
LKCGP-P000608-263367-01-01-01-R1	0	0	51	0	0	0
LKCGP-P000702-251072-01-06-01-D1	0	0	13	0	0	0
LKCGP-P000703-257977-01-01-01-P1	0	0	54	0	0	0
LKCGP-P000704-259975-01-04-01-P1	0	2	0	3	0	0
LKCGP-P000705-269231-01-04-20-D1	7	0	32	0	0	0
LKCGP-P000706-245879-01-01-01-P1	0	0	0	0	0	4
LKCGP-P000801-247593-01-01-01-R1	3	0	6	0	0	0
LKCGP-P000802-252046-01-06-01-R1	2	0	23	0	0	0
LKCGP-P000804-261896-01-01-01-R1	0	0	25	0	0	0
LKCGP-P000806-246360-01-04-01-D1	4	0	100	0	0	0
LKCGP-P000807-259168-03-01-13-R1	0	3	34	0	10	0
LKCGP-P000808-277070-01-02-03-R2	0	0	4	0	0	0
LKCGP-P000902-252200-01-01-01-D1	0	0	36	0	0	0
LKCGP-P000903-263833-01-01-01-P1	1	0	24	0	0	0
LKCGP-P000904-262038-01-01-01-D1	1	0	36	0	0	0
LKCGP-P000906-248532-01-02-01-P1	0	0	109	0	0	0
LKCGP-P001001-248023-01-01-01-R1	0	0	8	0	0	0
LKCGP-P001002-252900-01-01-01-R1	1	4	20	0	0	0
LKCGP-P001003-265756-01-01-01-D1	0	0	12	0	0	0
LKCGP-P001005-271863-01-02-03-D1	6	0	65	0	0	0
LKCGP-P001006-249154-01-02-01-R1	0	0	125	0	0	0
LKCGP-P001007-260322-01-01-01-D1	2	12	17	10	12	0
LKCGP-P001102-252831-01-01-01-D1	0	0	35	0	0	0
